Nombre,Artista,Álbum,Fecha añadida,Duración (ms),Popularidad,Géneros
Black Out Days - Sped Up,Phantogram,Black Out Days (Sped Up),2025-05-10T07:56:42Z,181584,63,
Make Me Feel,Elvis Drew,Make Me Feel,2025-05-10T07:06:27Z,155909,65,dark r&b
don't cry,zandros,don't cry,2025-05-10T06:29:01Z,235507,59,dark r&b
Heartburn,Wafia,One In A Million: A Future Classic Compilation,2025-05-10T06:24:38Z,206458,53,
We on Top (feat. Shari Short),Photronique,Superpop (Us Against the World),2025-05-08T17:40:33Z,181970,57,
Take A Slice,Glass Animals,How To Be A Human Being,2025-05-08T16:23:25Z,229717,77,
Never Be Like You,Flume,One In A Million: A Future Classic Compilation,2025-05-07T23:26:02Z,234909,45,future bass
Good Girl - Slowed,BURY,Good Girl,2025-05-07T15:25:16Z,174605,39,dark r&b
Safari,J Balvin,Energía,2025-05-06T06:24:20Z,205600,78,"reggaeton, latin"
Está Rico,Marc Anthony,Está Rico,2025-05-06T06:17:16Z,215151,63,"salsa, merengue, bachata, latin"
Big Dick,Little Big,Funeral Rave,2025-05-04T19:04:50Z,160000,67,country
Me and Your Mama,Childish Gambino,"""Awaken, My Love!""",2025-05-04T13:16:06Z,379226,12,
Digame Usted Señorita,Kale “La Evolución”,Digame Usted Señorita,2025-05-04T02:38:22Z,208374,47,
Love Me,Lil Wayne,I Am Not A Human Being II (Deluxe),2025-05-04T02:25:11Z,255053,89,"rap, hip hop"
Descer,Kew,Descer,2025-05-03T04:07:42Z,111653,85,
MONTAGEM TOMADA - Ultra Slowed,MXZI,MONTAGEM TOMADA,2025-05-03T04:07:37Z,106971,54,"phonk, brazilian phonk"
Diles,Bad Bunny,Diles,2025-05-03T02:33:38Z,286040,85,"reggaeton, trap latino, urbano latino, latin"
Una Noche en Medellín,Cris MJ,Una Noche en Medellín,2025-05-03T02:30:08Z,153750,83,"reggaeton chileno, chilean trap, chilean mambo, reggaeton"
LSet,L7NNON,LSet,2025-05-03T02:04:52Z,276345,68,"brazilian trap, brazilian hip hop, trap, trap funk, funk carioca"
FM$,New Boyz,FM$,2025-05-03T02:02:58Z,181907,60,
"Perras Como Tú - From the Motion Picture ""Miss Bala""",FARIANA,"Perras Como Tú (From the Motion Picture ""Miss Bala"")",2025-05-03T01:49:28Z,130546,50,"dembow, urbano latino"
Pega Meu Boneco 2,DJ JN PROD,Pega Meu Boneco 2,2025-05-03T01:38:48Z,126086,64,"funk de bh, brazilian phonk"
Toma,Alex Da Beat,Toma,2025-05-03T01:16:11Z,213710,9,
Here,Alessia Cara,Know-It-All,2025-05-03T01:07:09Z,199453,79,
Priceless (feat. LISA),Maroon 5,Priceless (feat. LISA),2025-05-02T19:59:23Z,163352,85,pop
NewJeans,NovaX,NewJeans,2025-05-02T00:39:14Z,122541,56,rally house
New Jeans,NewJeans,NewJeans 'Super Shy',2025-05-02T00:25:19Z,108986,81,k-pop
PARTY DIVA,JAKY,PARTY DIVA,2025-04-30T18:49:36Z,172877,29,dark r&b
Floki Lost Soul,arciana,Floki Lost Soul,2025-04-30T18:48:26Z,163898,62,nightcore
Back to Life,kobzx2z,Back to Life,2025-04-30T18:47:38Z,146173,43,"funkot, lagu jawa"
PREY,LIBERTO,PREY,2025-04-30T18:47:11Z,190746,34,dark ambient
Sex Appeal (sped up),Alicœurbrisé,Sex Appeal,2025-04-30T18:47:06Z,130996,42,dark r&b
Alive Again - Slowed,Reed Wonder,Alive Again,2025-04-30T18:46:15Z,247476,39,dark r&b
love me,Ex Habit,love me,2025-04-30T17:29:59Z,178665,66,dark r&b
OMG,NewJeans,NewJeans 'OMG',2025-04-30T17:29:12Z,212253,81,k-pop
3D (feat. Jack Harlow),Jung Kook,3D : The Remixes,2025-04-30T17:22:28Z,201812,80,k-pop
CRAZY,LE SSERAFIM,CRAZY (Party Remixes 1),2025-04-30T17:22:17Z,164554,80,k-pop
Shake It To The Max (FLY) - Remix,MOLIY,Shake It To The Max (FLY) (Remix),2025-04-30T17:11:43Z,178775,94,alté
Alibi (with Pabllo Vittar & Yseult),Sevdaliza,Alibi (with Pabllo Vittar & Yseult),2025-04-30T17:07:06Z,161655,83,
NUNCA MUDA?,Scythermane,NUNCA MUDA?,2025-04-30T14:46:22Z,81500,86,"phonk, brazilian phonk"
Lo Que No Sabes Tú,Chino & Nacho,Mi Niña Bonita,2025-04-30T13:48:39Z,232040,29,"merengue, reggaeton, latin"
No Te Hagas,Jory Boy,No Te Hagas,2025-04-30T07:29:39Z,233250,81,"reggaeton, trap latino"
High Enough,K.Flay,Every Where Is Some Where,2025-04-30T07:05:34Z,231600,64,
I Want It All (Clean),Cameron Grey,I Want It All (Clean),2025-04-30T06:35:29Z,200021,48,
no sleep,arya x,no sleep,2025-04-30T06:35:20Z,158117,54,dark r&b
Cherry Hill,Russ,There's Really A Wolf,2025-04-30T06:31:46Z,222453,71,
Who Do You Want,Ex Habit,Who Do You Want,2025-04-30T05:00:34Z,140016,71,dark r&b
Love Is a Bitch,Dario Marcello,Love Is a Bitch,2025-04-30T04:53:35Z,156454,40,
Es Un Secreto (Remasterizada 2024) - Remix,Plan B,Es Un Secreto (Remasterizada 2024),2025-04-29T22:08:35Z,233399,62,reggaeton
Lola,Jedis,Grandes Exitos,2025-04-29T13:00:35Z,263000,71,reggaeton mexa
Ella Te Las Va A Pegar (feat. Ele a el Dominio & Noriel),Jon Z,Voodoo,2025-04-28T23:16:40Z,217525,71,"trap latino, trap, dembow"
Level Up,Ciara,Beauty Marks,2025-04-28T22:46:14Z,204150,70,
Finanzas Personales,El Compa,"Movimiento 420, Vol. 1",2025-04-28T15:56:40Z,155999,0,
LUNA BALA - Extreme Slowed,Yb Wasg'ood,LUNA BALA,2025-04-28T14:12:26Z,146586,75,"phonk, brazilian phonk"
LUNA BALA - Super Slowed,Yb Wasg'ood,LUNA BALA,2025-04-28T14:10:09Z,131192,71,"phonk, brazilian phonk"
LUNA BALA,Yb Wasg'ood,LUNA BALA,2025-04-28T14:09:54Z,105091,74,"phonk, brazilian phonk"
LUNA BALA - Slowed,Yb Wasg'ood,LUNA BALA,2025-04-28T13:17:48Z,124110,90,"phonk, brazilian phonk"
Attention,Doja Cat,Scarlet 2 CLAUDE,2025-04-28T01:35:52Z,277043,43,
Wet Vagina,Doja Cat,Scarlet 2 CLAUDE,2025-04-28T00:55:48Z,192240,46,
Demons,Doja Cat,Scarlet 2 CLAUDE,2025-04-28T00:52:20Z,195573,47,
Agora Hills,Doja Cat,Scarlet,2025-04-28T00:11:41Z,265360,78,
Hello Stranger,KWON EUNBI,Hello Stranger,2025-04-27T23:12:25Z,181213,58,k-pop
like JENNIE,JENNIE,Ruby,2025-04-27T23:03:49Z,123517,94,k-pop
BOSS (English Version),A2O MAY,BOSS,2025-04-27T23:03:43Z,175746,50,
APT.,ROSÉ,APT.,2025-04-27T22:48:54Z,169917,94,
Magnetic,ILLIT,SUPER REAL ME,2025-04-27T22:45:00Z,160688,84,k-pop
DDU-DU DDU-DU,BLACKPINK,SQUARE UP,2025-04-27T22:42:46Z,211350,74,k-pop
BOOMBAYAH,BLACKPINK,SQUARE ONE,2025-04-27T22:42:43Z,240793,77,k-pop
Kill This Love,BLACKPINK,KILL THIS LOVE,2025-04-27T22:42:37Z,191050,76,k-pop
R.i.p,Cazzu,Maldade$,2025-04-27T22:41:55Z,200944,65,"argentine trap, trap latino, turreo"
Mucha Data,Cazzu,Error 93,2025-04-27T22:41:54Z,154065,70,"argentine trap, trap latino, turreo"
Nada,Cazzu,Error 93,2025-04-27T22:36:35Z,305113,76,"argentine trap, trap latino, turreo"
Loca,KHEA,Loca,2025-04-27T22:31:59Z,246382,77,"argentine trap, trap, trap latino"
Chapiadora,Cazzu,Chapiadora,2025-04-27T22:09:19Z,209213,63,"argentine trap, trap latino, turreo"
Bounce,Cazzu,Bonus Trap,2025-04-27T22:06:56Z,133880,67,"argentine trap, trap latino, turreo"
Brinca,Cazzu,Nena Trampa (Deluxe Edition),2025-04-27T22:00:51Z,146086,67,"argentine trap, trap latino, turreo"
Mayor Que Yo 2,Wisin & Yandel,Regaetton Hits,2025-04-27T02:32:52Z,229453,56,"reggaeton, urbano latino"
Noche de Entierro - Nuestro Amor,Daddy Yankee,20 Number 1's Now,2025-04-27T02:27:46Z,263387,0,"reggaeton, latin"
Oye Mi Canto,N.O.R.E.,N.O.R.E. Y La Familia,2025-04-27T02:15:34Z,240973,73,"reggaeton, urbano latino"
Pam Pam,Wisin & Yandel,Pa'l Mundo First Class Delivery,2025-04-27T02:11:28Z,229493,54,"reggaeton, urbano latino"
Rompe,Daddy Yankee,Candelazos Bailables,2025-04-27T01:51:48Z,189040,0,"reggaeton, latin"
Otra vez (feat. J Balvin),Zion & Lennox,Motivan2,2025-04-27T01:51:10Z,209453,78,"reggaeton, latin"
Ella Me Levanto,Daddy Yankee,El Cartel: The Big Boss,2025-04-27T01:47:15Z,209493,2,"reggaeton, latin"
Te Pintaron Pajaritos,Yandar & Yostin,Te Pintaron Pajaritos,2025-04-27T01:43:36Z,172558,76,reggaeton
Sábado Rebelde,Daddy Yankee,Sábado Rebelde,2025-04-27T01:43:26Z,240266,68,"reggaeton, latin"
Me Pones en Tensión,The Noise,Biografía,2025-04-27T01:37:15Z,234880,70,reggaeton
Si No Te Quiere,Ozuna,Odisea,2025-04-27T01:33:25Z,226106,69,"reggaeton, trap latino, latin, urbano latino"
Chica Ven Pa' Ca,Plan B,Los Matadores del Genero,2025-04-27T01:30:17Z,204280,62,reggaeton
Punto y Aparte,Tego Calderón,Rompe La Discoteca,2025-04-27T01:24:45Z,206493,76,"reggaeton, latin hip hop"
Solos (feat. Plan B),Tony Dize,La Melodia de la Calle (Remastered),2025-04-27T01:21:44Z,188826,68,reggaeton
Rakata,Wisin & Yandel,Pa'l Mundo,2025-04-27T01:18:42Z,172680,79,"reggaeton, urbano latino"
Pobre Diabla,Don Omar,200% Reguetón,2025-04-27T01:16:31Z,255680,47,"reggaeton, urbano latino"
No Me Dejes Solo,Daddy Yankee,Barrio Fino (Bonus Track Version),2025-04-27T01:13:38Z,170240,22,"reggaeton, latin"
Fanática Sensual,Plan B,Love And Sex,2025-04-27T01:09:30Z,240320,60,reggaeton
Yo no Soy Tu Marido,Nicky Jam,Kilates 2,2025-04-27T01:07:00Z,201692,68,"reggaeton, latin"
Dale Don Dale,Don Omar,The Last Don,2025-04-27T01:06:52Z,212413,78,"reggaeton, urbano latino"
Yo Quiero Bailar,Ivy Queen,Rompe La Discoteca,2025-04-27T01:03:28Z,184466,63,reggaeton
"Lo Que Pasó, Pasó",Daddy Yankee,Barrio Fino (Bonus Track Version),2025-04-27T01:02:46Z,210933,29,"reggaeton, latin"
Yo Voy (feat. Daddy Yankee),Zion & Lennox,Motivando a la Yal,2025-04-27T01:02:10Z,232019,82,"reggaeton, latin"
Danza Kuduro,Don Omar,Meet The Orphans,2025-04-27T00:56:43Z,198773,87,"reggaeton, urbano latino"
Donde Estan las Gatas,Alex Gargolas,Gargolas 3,2025-04-27T00:53:08Z,170004,75,reggaeton
Noche de Travesura,"Héctor ""El Father""",Goldstar Music La Familia Reggaeton Hits,2025-04-27T00:53:00Z,207786,2,reggaeton
Candy,Plan B,Love And Sex,2025-04-27T00:49:26Z,207626,62,reggaeton
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),2025-04-27T00:48:04Z,192600,8,"reggaeton, latin"
Pa' Que Retozen,Tego Calderón,El Abayarde,2025-04-27T00:45:20Z,151666,82,"reggaeton, latin hip hop"
Dile,Don Omar,The Last Don,2025-04-27T00:40:13Z,204600,85,"reggaeton, urbano latino"
her name - slowed,Beneld,her name,2025-04-27T00:37:30Z,191459,46,dark r&b
Bodak Yellow,Cardi B,Invasion of Privacy,2025-04-26T15:13:56Z,223712,75,
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion),2025-04-26T15:13:41Z,187541,80,
I Like It,Cardi B,Invasion of Privacy,2025-04-26T15:13:40Z,253390,81,
Finesse - Remix; feat. Cardi B,Bruno Mars,Finesse (Remix) [feat. Cardi B],2025-04-26T15:13:39Z,217288,79,
Haunted Strip Club - Slowed,Reed Wonder,Haunted Strip Club,2025-04-26T15:13:22Z,236876,39,dark r&b
Scream My Name,Thomas LaRosa,Scream My Name,2025-04-25T22:16:08Z,212898,63,dark r&b
The Hills,The Weeknd,Beauty Behind The Madness,2025-04-25T20:06:00Z,242253,89,
São Paulo (feat. Anitta),The Weeknd,Hurry Up Tomorrow,2025-04-25T20:05:59Z,301623,88,
Die For You,The Weeknd,Starboy,2025-04-25T20:05:56Z,260253,88,
heads will krush,RZXT!,heads will krush,2025-04-25T19:19:02Z,144004,39,"brazilian phonk, phonk"
Birthday Sex,Jeremih,Jeremih,2025-04-25T16:37:04Z,226506,73,
